phone,hml84_frequency,hml84_log10fpm,mhr82_frequency,mhr82_log10fpm
aɪ,39275,4.164124068575188,23807,4.435146035955984
aʊ,16079,3.77626691007246,7377,3.926321147467384
b,51831,4.284597462832409,18027,4.314364822741905
d,102205,4.579480017425991,47838,4.738214378486005
dʒ,13220,3.691239330012799,3015,3.5377286804851744
eɪ,38966,4.1606937010539085,16679,4.280611372690769
f,51526,4.282034304043541,10731,4.089081558877636
g,19422,3.8583018246493936,15789,4.256795988745944
h,61905,4.361733602796274,18896,4.334811244278444
i,82430,4.4860931747068795,28537,4.51384967925129
j,16510,3.7877549481259707,8544,3.9901026036934857
k,73250,4.434815503889324,25462,4.464333877814063
l,98287,4.562503954225089,29343,4.5259458776349
m,75850,4.449963459985926,25799,4.470044236526549
n,204939,4.881632487598613,68331,4.893059140524228
oʊ,61954,4.362077226283037,17330,4.297239926722921
p,50694,4.274964435358426,14851,4.2301970620972424
r,121548,4.6547556920440964,29534,4.528763634552922
s,114733,4.62969622438284,33752,4.586740876382829
t,188536,4.845402163668009,69108,4.897969688586535
tʃ,17147,3.804196022716379,3149,3.5566140246455484
u,57320,4.328314056588484,19188,4.341471073802864
v,66490,4.392764207814568,8753,4.000598292476495
w,60251,4.349972134257433,25171,4.459341833663641
z,54454,4.3060376618773315,24027,4.439140912391721
æ,106838,4.598733624325825,40290,4.663638631397382
ð,108602,4.605845698099116,35995,4.614683541909065
ŋ,13692,3.7064747653290167,9102,4.017578195179379
ɑ,36589,4.133358414975184,17326,4.297139674071991
ɔ,26110,3.9868147466861217,12004,4.137767350761819
ɔɪ,2140,2.900421648212368,744,2.930014299554883
ə,231568,4.93468641962666,38977,4.649249773095766
ɚ,41966,4.192905451157946,10676,4.086849929124474
ɛ,73107,4.433966837536847,31322,4.554290849235021
ɝ,17048,3.8016813115693227,4227,3.684473611838023
ɪ,195348,4.860816844079419,43999,4.701884170053893
ʃ,21756,3.9075869250063104,4844,3.743645498480019
ʊ,13557,3.7021714709140414,4288,3.690696140693718
ʌ,44555,4.218904322867108,22826,4.416871176939048
ʒ,1488,2.7426108060730368,100,2.0584413640090045
θ,18300,3.8324589645936067,4337,3.6956307861577664
