phone,cmubet,wiscbet,hint,manner,manner_alt,tenseness,height,height_alt,backness,rounding
i,IY,i,beat,vowel,vowel,tense,high,high,front,unrounded
ɪ,IH,I,bit,vowel,vowel,lax,mid-high,high,front,unrounded
eɪ,EY,eI,bait,vowel,vowel,tense,mid-high,mid,front,unrounded
ɛ,EH,E,bet,vowel,vowel,lax,mid-low,mid,front,unrounded
æ,AE,ae,bat,vowel,vowel,lax,low,low,front,unrounded
ʌ,AH,^,but,vowel,vowel,lax,mid-low,mid,central,unrounded
ə,AH,4,comma,vowel,vowel,lax,mid-low,mid,central,unrounded
u,UW,u,boot,vowel,vowel,tense,high,high,back,rounded
ʊ,UH,U,book,vowel,vowel,lax,mid-high,high,back,rounded
oʊ,OW,oU,boat,vowel,vowel,tense,mid-high,mid,back,rounded
ɔ,AO,c,bought,vowel,vowel,tense,mid-low,low,back,rounded
ɑ,AA,@,bot,vowel,vowel,tense,low,low,back,unrounded
aʊ,AW,@U,bout,vowel,diphthong,diphthong,diphthong,diphthong,diphthong,diphthong
aɪ,AY,@I,bite,vowel,diphthong,diphthong,diphthong,diphthong,diphthong,diphthong
ɔɪ,OY,cI,boy,vowel,diphthong,diphthong,diphthong,diphthong,diphthong,diphthong
ɝ,ER,3^,letter,vowel,r-colored,r-colored,mid-low,mid,central,r-colored
ɚ,ER,4^,burt,vowel,r-colored,r-colored,mid-low,mid,central,r-colored
